congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
115,Senate,40904,33,0,MN,100,,,"FRANKEN, Al",F000457,1951,,-0.4,-0.169,-23.07296,0.92377,291,9,,-0.337,-0.277
115,Senate,41706,33,0,MN,100,,,"SMITH, Tina",S001203,1958,,-0.392,-0.065,-32.16805,0.86454,221,13,,-0.346,-0.123
115,Senate,14009,46,0,MS,200,,,"COCHRAN, William Thad",C000567,1937,,0.287,0.051,-8.71534,0.97263,314,0,,0.376,0.246
115,Senate,29534,46,0,MS,200,,,"WICKER, Roger F.",W000437,1951,,0.376,0.355,-29.25129,0.9453,520,13,,0.413,0.145
115,Senate,41707,46,0,MS,200,,,"HYDE-SMITH, Cindy",H001079,1959,,0.381,0.294,-15.68695,0.91283,172,8,,0.41,0.15
115,Senate,29735,34,0,MO,200,,,"BLUNT, Roy",B000575,1950,,0.428,0.283,-16.48038,0.96839,513,3,,0.367,0.328
115,Senate,40701,34,0,MO,100,,,"McCASKILL, Claire",M001170,1953,,-0.143,0.023,-86.10016,0.84353,506,37,,-0.152,0.178
115,Senate,21338,64,0,MT,200,,,"DAINES, Steve",D000618,1962,,0.549,-0.116,-57.46698,0.89537,520,27,,0.606,-0.313
115,Senate,40702,64,0,MT,100,,,"TESTER, Jon",T000464,1956,,-0.216,0.14,-89.30197,0.84136,517,36,,-0.191,0.017
115,Senate,41302,35,0,NE,200,,,"FISCHER, Debra (Deb)",F000463,1951,,0.468,0.32,-26.53805,0.95006,518,12,,0.448,0.254
115,Senate,41503,35,0,NE,200,,,"SASSE, Benjamin Eric",S001197,1972,,0.8,-0.257,-44.43955,0.91748,516,18,,0.824,0.019
115,Senate,20730,65,0,NV,200,,,"HELLER, Dean",H001041,1960,,0.463,-0.459,-94.7254,0.82773,501,40,,0.481,-0.581
115,Senate,41700,65,0,NV,100,,,"CORTEZ MASTO, Catherine Marie",C001113,1964,,-0.373,0.331,-81.55397,0.85275,512,41,,-0.395,0.344
115,Senate,40906,4,0,NH,100,,,"SHAHEEN, Jeanne",S001181,1947,,-0.241,-0.189,-65.84289,0.87933,512,21,,-0.229,-0.077
115,Senate,41702,4,0,NH,100,,,"HASSAN, Margaret (Maggie)",H001076,1958,,-0.244,-0.075,-62.06224,0.88729,519,22,,-0.258,-0.082
115,Senate,29373,12,0,NJ,100,,,"MENENDEZ, Robert",M000639,1954,,-0.365,-0.118,-86.33234,0.82508,449,35,,-0.38,-0.138
115,Senate,41308,12,0,NJ,100,,,"BOOKER, Cory Anthony",B001288,1969,,-0.609,-0.205,-58.28873,0.89058,503,27,,-0.645,-0.071
115,Senate,20930,66,0,NM,100,,,"HEINRICH, Martin",H001046,1971,,-0.312,-0.019,-81.12349,0.85051,501,40,,-0.405,0.097
115,Senate,29924,66,0,NM,100,,,"UDALL, Thomas (Tom)",U000039,1948,,-0.452,0.171,-74.5478,0.86596,518,32,,-0.419,0.089
115,Senate,14858,13,0,NY,100,,,"SCHUMER, Charles Ellis (Chuck)",S000148,1950,,-0.354,-0.388,-67.19834,0.87899,521,30,,-0.395,-0.192
115,Senate,20735,13,0,NY,100,,,"GILLIBRAND, Kirsten",G000555,1966,,-0.449,-0.334,-122.85294,0.78994,521,68,,-0.848,-0.215
115,Senate,29548,47,0,NC,200,,,"BURR, Richard M.",B001135,1955,,0.452,-0.054,-33.51476,0.93542,502,13,,0.442,0.041
115,Senate,41504,47,0,NC,200,,,"TILLIS, Thomas Roland (Thom)",T000476,1960,,0.426,0.045,-18.84514,0.96242,492,6,,0.396,0.108
115,Senate,41107,36,0,ND,200,,,"HOEVEN, John",H001061,1957,,0.341,0.333,-17.56489,0.96666,518,6,,0.38,0.272
115,Senate,41303,36,0,ND,100,,,"HEITKAMP, Mary Kathryn (Heidi)",H001069,1955,,-0.122,0.398,-64.41272,0.88091,508,24,,-0.092,0.357
115,Senate,29386,24,0,OH,200,,,"PORTMAN, Robert Jones (Rob)",P000449,1955,,0.374,-0.243,-37.13747,0.93094,519,12,,0.324,0.006
115,Senate,29389,24,0,OH,100,,,"BROWN, Sherrod",B000944,1952,,-0.433,-0.129,-62.2215,0.88722,520,25,,-0.396,-0.08
115,Senate,15424,53,0,OK,200,,,"INHOFE, James Mountain",I000024,1934,,0.554,0.041,-27.19869,0.94836,513,10,,0.561,0.22
115,Senate,21166,53,0,OK,200,,,"LANKFORD, James",L000575,1968,,0.585,0.157,-40.98816,0.92448,522,20,,0.683,-0.023
115,Senate,14871,72,0,OR,100,,,"WYDEN, Ronald Lee",W000779,1949,,-0.324,-0.446,-106.11791,0.81508,519,57,,-0.435,-0.544
115,Senate,40908,72,0,OR,100,,,"MERKLEY, Jeff",M001176,1956,,-0.457,-0.774,-54.90975,0.89887,515,20,,-0.568,-0.721
115,Senate,29935,14,0,PA,200,,,"TOOMEY, Patrick Joseph",T000461,1961,,0.645,-0.295,-49.36401,0.9067,504,22,,0.776,-0.299
115,Senate,40703,14,0,PA,100,,,"CASEY, Robert (Bob), Jr.",C001070,1960,,-0.309,0.181,-65.91868,0.88137,522,23,,-0.317,0.063
115,Senate,29142,5,0,RI,100,,,"REED, John F. (Jack)",R000122,1949,,-0.376,-0.211,-82.47701,0.85385,522,36,,-0.312,-0.154
115,Senate,40704,5,0,RI,100,,,"WHITEHOUSE, Sheldon",W000802,1955,,-0.369,-0.154,-66.03895,0.88052,519,32,,-0.354,-0.194
115,Senate,21173,48,0,SC,200,,,"SCOTT, Tim",S001184,1965,,0.645,0.007,-32.86432,0.93841,517,15,,0.533,0.182
115,Senate,29566,48,0,SC,200,,,"GRAHAM, Lindsey O.",G000359,1955,,0.406,-0.172,-39.97561,0.92181,491,16,,0.359,-0.1
115,Senate,29754,37,0,SD,200,,,"THUNE, John",T000250,1961,,0.41,0.135,-23.67352,0.95566,522,11,,0.459,0.207
115,Senate,41505,37,0,SD,200,,,"ROUNDS, Marion Michael (Mike)",R000605,1954,,0.39,0.056,-35.29693,0.93376,515,9,,0.413,0.13
115,Senate,40304,54,0,TN,200,,,"ALEXANDER, Lamar",A000360,1940,,0.324,-0.175,-26.77563,0.94786,500,6,,0.326,-0.105
115,Senate,40705,54,0,TN,200,,,"CORKER, Robert (Bob)",C001071,1952,,0.395,-0.344,-76.78654,0.85816,502,31,,0.5,-0.579
115,Senate,40305,49,0,TX,200,,,"CORNYN, John",C001056,1952,,0.495,-0.003,-22.84755,0.95701,520,7,,0.415,0.242
115,Senate,41304,49,0,TX,200,,,"CRUZ, Rafael Edward (Ted)",C001098,1970,,0.82,-0.306,-54.59683,0.89636,499,24,,0.679,-0.2
115,Senate,14503,67,0,UT,200,,,"HATCH, Orrin Grant",H000338,1934,,0.382,-0.004,-29.34813,0.94502,519,12,,0.356,0.162
115,Senate,41110,67,0,UT,200,,,"LEE, Mike",L000577,1971,,0.914,-0.407,-99.77803,0.82418,516,60,,0.902,-0.432
115,Senate,14307,6,0,VT,100,,,"LEAHY, Patrick Joseph",L000174,1940,,-0.365,-0.131,-66.80173,0.87655,507,32,,-0.307,-0.142
115,Senate,29147,6,0,VT,328,,,"SANDERS, Bernard",S000033,1941,,-0.526,-0.371,-77.3324,0.85879,508,33,,-0.709,-0.639
115,Senate,40909,40,0,VA,100,,,"WARNER, Mark",W000805,1954,,-0.2,-0.043,-70.54086,0.87176,514,29,,-0.176,-0.031
115,Senate,41305,40,0,VA,100,,,"KAINE, Timothy Michael (Tim)",K000384,1958,,-0.238,-0.094,-67.85459,0.87744,519,24,,-0.243,-0.07
115,Senate,39310,73,0,WA,100,,,"CANTWELL, Maria E.",C000127,1958,,-0.295,-0.394,-58.2301,0.89406,520,18,,-0.349,-0.261
115,Senate,49308,73,0,WA,100,,,"MURRAY, Patty",M001111,1950,,-0.346,-0.277,-49.99416,0.90662,510,17,,-0.36,-0.235
115,Senate,20146,56,0,WV,200,,,"CAPITO, Shelley Moore",C001047,1953,,0.261,0.056,-39.16876,0.9269,516,14,,0.362,0.101
115,Senate,40915,56,0,WV,100,,,"MANCHIN, Joe, III",M001183,1947,,-0.056,0.448,-80.8459,0.85575,519,39,,-0.051,0.531
115,Senate,29940,25,0,WI,100,,,"BALDWIN, Tammy",B001230,1962,,-0.508,-0.207,-109.27855,0.81013,519,54,,-0.348,-0.21
115,Senate,41111,25,0,WI,200,,,"JOHNSON, Ron",J000293,1955,,0.6,-0.289,-37.99748,0.92927,518,19,,0.637,-0.166
115,Senate,40707,68,0,WY,200,,,"BARRASSO, John A.",B001261,1952,,0.538,0.238,-36.52115,0.9323,521,15,,0.6,0.267
115,Senate,49706,68,0,WY,200,,,"ENZI, Michael B.",E000285,1944,,0.542,0.196,-38.37013,0.92913,522,20,,0.593,0.225
